,Postcode,Borough,Neighborhood,loc,latitude,longitude
71,M6A,North York,"Lawrence Heights, Lawrence Manor","North York, ON M6A, Canada",43.718518,-79.4647633
72,M6B,North York,Glencairn,"Toronto, ON M6B, Canada",43.709577,-79.4450726
73,M6C,York,Humewood-Cedarvale,"Toronto, ON M6C, Canada",43.6937813,-79.4281914
74,M6E,York,Caledonia-Fairbanks,"Toronto, ON M6E, Canada",43.68902560000001,-79.453512
75,M6G,Downtown Toronto,Christie,"Toronto, ON M6G, Canada",43.669542,-79.4225637
76,M6H,West Toronto,"Dovercourt Village, Dufferin","Toronto, ON M6H, Canada",43.6690051,-79.4422593
77,M6J,West Toronto,"Little Portugal, Trinity","Toronto, ON M6J, Canada",43.6479267,-79.4197497
78,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village","Toronto, ON M6K, Canada",43.6368472,-79.4281914
79,M6L,North York,"Downsview, North Park, Upwood Park","North York, ON M6L, Canada",43.7137562,-79.49007379999999
80,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn","Toronto, ON M6M, Canada",43.6911158,-79.47601329999999
81,M6N,York,"The Junction North, Runnymede","Toronto, ON M6N, Canada",43.6731853,-79.4872619
82,M6P,West Toronto,"High Park, The Junction South","Toronto, ON M6P, Canada",43.6616083,-79.4647633
83,M6R,West Toronto,"Parkdale, Roncesvalles","Toronto, ON M6R, Canada",43.6489597,-79.45632499999999
84,M6S,West Toronto,"Runnymede, Swansea","Toronto, ON M6S, Canada",43.6515706,-79.4844499
85,M7A,Queen's Park,Queen's Park,"North York, ON M7A, Canada",43.6623015,-79.3894938
86,M7R,Mississauga,Canada Post Gateway Processing Centre,"Mississauga, ON M7R, Canada",43.6369656,-79.615819
87,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,"Toronto, ON M7Y, Canada",43.6627439,-79.321558
88,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto","Etobicoke, ON M8V, Canada",43.6056466,-79.5013207
89,M8W,Etobicoke,"Alderwood, Long Branch","Etobicoke, ON M8W, Canada",43.6024137,-79.5434841
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North","Etobicoke, ON M8X, Canada",43.6536536,-79.5069436
91,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea","Etobicoke, ON M8Y, Canada",43.6362579,-79.49850909999999
92,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor","Etobicoke, ON M8Z, Canada",43.6288408,-79.5209994
93,M9A,Etobicoke,Islington Avenue,"Etobicoke, ON M9A, Canada",43.6678556,-79.5322424
94,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park","Etobicoke, ON M9B, Canada",43.65094320000001,-79.5547244
95,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe","Etobicoke, ON M9C, Canada",43.6435152,-79.5772008
96,M9L,North York,Humber Summit,"North York, ON M9L, Canada",43.7563033,-79.56596329999999
97,M9M,North York,"Emery, Humberlea","North York, ON M9M, Canada",43.7247659,-79.5322424
98,M9N,York,Weston,"Toronto, ON M9N, Canada",43.706876,-79.5181884
99,M9P,Etobicoke,Westmount,"Etobicoke, ON M9P, Canada",43.696319,-79.5322424
100,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips","Etobicoke, ON M9R, Canada",43.6889054,-79.5547244
101,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown","Etobicoke, ON M9V, Canada",43.7394164,-79.58843689999999
102,M9W,Etobicoke,Northwest,"Etobicoke, ON M9W, Canada",43.7067483,-79.59405439999999
